悪魔の踊り方|あくまのおどりかた
芥の部屋は錆色に沈む|あくたのへやはさびいろにしずむ
きっとこの命に意味は無かった|きっとこのいのちに意味はなかった
記憶の水槽|きおくのすいそう
初夏、殺意は街を浸す病のように|しょかさついはまちをひたすやまいのように
それでも僕らの呼吸は止まない|それでもぼくらのこきゅうはやまない
過ち|あやまち
波に名前をつけること、僕らの呼吸に終わりがあること|なみになまえをつけることぼくらのこきゅうにおわりがあること
君が夜の海に還るまで|きみがよるのうみにかえるまで
夢遊病者は此岸にて|むゆうびょうしゃはしがんにて
輪郭|りんかく
I DO NOT LOVE YOU.|あいどぅーのっとらぶゆー
Stoned Child|すとーんどちゃいるど
花の香|はなのか
トリガーハッピー|とりがーはっぴー
Sad Girl|さっどがーる
君のつづき|きみのつづき
穴の空いた生活|あなのあいたせいかつ
クラブ・アンリアリティ|くらぶあんりありてぃ
振り子の上で|ふりこのうえで
PINK|ぴんく
冷たい渦|つめたいうず
タナトフォビア|たなとふぉびあ
聖者の行進|せいじゃのこうしん
夜警|やけい
Rapport|らぽーる
プラネテス|ぷらねてす
ちはる|ちはる
よろこびのうた|よろこびのうた
ハイドアンドシーク|はいどあんどしーく
パノプティコン|ぱのぷてぃこん
デッドウェイト|でっどうぇいと
人間みたいね|にんげんみたいね
悪夢|あくむ
デマゴーグ|でまごーぐ
泥中の蓮|でいちゅうのはちす
私が明日死ぬなら|わたしがあしたしぬなら
青のすみか|あおのすみか
Moonthief|むーんしーふ
キュートアグレッション|きゅーとあぐれっしょん
化け猫|ばけねこ
月光|げっこう
旅にでも出よっか|たびにでもでよっか
ナイトルーティーン|ないとるーてぃーん
スカー|すかー
大人になっても|おとなになっても
次回予告|じかいよこく
ずうっといっしょ！|ずうっといっしょ
ファタール|ふぁたーる
まなざしは光|まなざしはひかり
ウィスパー|うぃすぱー
ユーモア|ゆーもあ
なくしもの|なくしもの
あなたのことをおしえて|あなたのことをおしえて
いらないもの|いらないもの
ラブソング|らぶそんぐ
やんぐわーるど|やんぐわーるど
知らないあそび|しらないあそび
素敵なしゅうまつを！|すてきなしゅうまつを
永遠|えいえん
白無垢|しろむく
Cinnamon|しなもん
天国の改札|てんごくのかいさつ
逃走劇|とうそうげき
Ghost!?|ごーすと
愛のけだもの|あいのけだもの
F.A.C.E|えふえーしーいー
カルチャー|かるちゃー

軽忽な救済を待つ醜さには一片の夾竹桃を|きょうこつなきゅうさいをまつみにくさにはひとひらのきょうちくとうを
落下ウサギと寡黙な傍観者の手記|らっかうさぎとかもくなぼうかんしゃのしゅき
鯨と水星|くじらとすいせい
身体の分解と再構築、または神話の円環性について|しんたいのぶんかいとさいこうちくまたはしんわのえんかんせいについて
つめたいまちのおんなのこ|つめたいまちのおんなのこ
はなればなれに焼きつく炎昼|はなればなれにやきつくえんちゅう
どこにもいけないままで|どこにもいけないままで
いのちは彼の食卓の上で|いのちはかれのしょくたくのうえで
鏡のない国|かがみのないくに
散るカラスと静謐な白巨塔の崩落|ちるからすとせいひつなしろきょとうのほうらく
僕を悪魔と呼ばないで|ぼくをあくまとよばないで
或るキリスト者は告解室を去る、唯だ信仰のみを抱えて|あるきりすとしゃはこっかいしつをさるただしんこうのみをかかえて
化身|けしん
フリードリヒと初夏の平衡|ふりーどりひとしょかのへいこう
包まれた街|つつまれたまち
海鳴りの夜明け|うみなりのよあけ
優しいてのひらで心臓を包むように|やさしいてのひらでしんぞうをつつむように
命なんていらなかった|いのちなんていらなかった
迷いヒツジと孤独な散歩者の夢想|まよいひつじとこどくなさんぽしゃのむそう
叙情系女子ひふみさん|じょじょうけいじょしひふみさん
翡翠のまち|ひすいのまち

affizieren|あふぃつぃえーれん
novem|のゔぇむ
藍に依る|あいによる
Luther|るたー
レシュノの箱庭に於ける、|れしゅののはこにわにおける
雨を待っていた|あめをまっていた
a coelacanth|あしーらかんす
海があなたの中へ落ちたら|うみがあなたのなかへおちたら
鳥居の下で待ち合わせ|とりいのしたでまちあわせ
送電塔は夜の街に|そうでんとうはよるのまちに
Ophelia|おふぃーりあ
晩夏、206号室|ばんかにーまるろくごうしつ
